S.A. Borders-Shoemaker, Blinded allegiance disallows knowledge of choosing and authenticity.
Friedrich Nietzsche, Whoever fights monsters should see to it that in the process he does not become a monster. And if you gaze long enough into an abyss  the abyss will gaze back into you.
Friedrich Nietzsche, Those who know they are profound strive for clarity. Those who want to seem profound strive  for obscurity.
Epicurus, Is God willing to prevent evil  but not able? Then he is not omnipotent. Is he able  but not willing? Then he is malevolent. Is he both able and willing? Then whence cometh evil? Is he neither able nor willing? Then why call him God?  
Robert G. Ingersoll, Religion supports nobody. It has to be supported. It produces no wheat  no corn; it ploughs no land; it fells no forests. It is a perpetual mendicant. It lives on the labors of others  and then has the arrogance to pretend that it supports the giver.
Franz Kafka, I was ashamed of myself when I realised life was a costume party and I attended with my real face.
Søren Kierkegaard, There are two ways to be fooled. One is to believe what isn't true; the other is to refuse to believe what is true.
Ralph Waldo Emerson, The only person you are destined to become is the person you decide to be.
William Shakespeare, Hell is empty and all the devils are here.
Ralph Waldo Emerson, Of all the ways there are to lose a person  death is the kindest.
Epictetus, These reasonings do not cohere: I am richer than you  therefore I am better than you; I am more eloquent than you  therefore I am better than you. On the contrary these rather cohere  I am richer than you  therefore my possessions are greater than yours: I am more eloquent than you  therefore my speech is superior to yours. But you are neither possession nor speech.
Epictetus, We are like actors in a play. The divine will has assigned us our roles in life without consulting us. Some of us will act in a short drama  others in a long one. We might be assigned the part of a poor person  a cripple  a distinguished celebrity or public leader  or an ordinary private citizen. Although we can't control which roles are assigned to us  it must be our business to act our given role as best as we possibly can and to refrain from complaining about it. Wherever you find yourself and in whatever circumstances  give an impeccable performance.
Epictetus, Remember that you must behave as at a banquet. Is anything brought round to you? Put out your hand  and take a moderate share. Does it pass you? Do not stop it. Is it not come yet? Do not yearn in desire towards it  but wait till it reaches you. So with regard to children  wife  office  riches; and you will some time or other be worthy to feast with the gods. And if you do not so much as take the things which are set before you  but are able even to forego them  then you will not only be worthy to feast with the gods  but to rule with them also. For  by thus doing  Diogenes and Heraclitus  and others like them  deservedly became divine  and were so recognized.
Seneca, We are not able by means of reason to escape from that first impression on the mind  any more than we can escape from those things which we have mentioned as occurring to the body: we cannot prevent other people's yawns tempting us to yawn: we cannot help winking when fingers are suddenly darted at our eyes. Reason is unable to overcome these habits  which perhaps might be weakened by practice and constant watchfulness: they differ from an emotion which is brought into existence and brought to an end by a deliberate mental act.
Epictetus, Suffering arises from trying to control what is uncontrollable  or from neglecting what is within our power.
Albert Camus, A liking for truth at any cost is a passion that spares nothing and that nothing resists. It’s a vice  at times a comfort  or a selfishness.
Mark Twain, Anger is an acid that can do more harm to the vessel in which it is stored than to anything on which it is poured.
Anonymous, Be a fountain  not a drain. Create more  consume less.
Edgar Allan Poe, The true genius shudders at incompleteness — imperfection — and usually prefers silence to saying the something  which is not everything that should be said.
Carl Gustav Jung, I am not what happened to me  I am what I choose to become.
Marcus Aurelius, Don’t let yourself forget how many doctors have died  after furrowing their brows over how many deathbeds. How many astrologers  after pompous forecasts about others’ ends. How many philosophers  after endless disquisitions on death and immortality. How many warriors  after inflicting thousands of casualties themselves. How many tyrants  after abusing the power of life and death atrociously  as if they were themselves immortal. How many whole cities have met their end: Helike  Pompeii  Herculaneum  and countless others. And all the ones you know yourself  one after another. One who laid out another for burial  and was buried himself  and then the man who buried him—all in the same short space of time. In short  know this: Human lives are brief and trivial. Yesterday a blob of semen; tomorrow embalming fluid  ash. To pass through this brief life as nature demands. To give it up without complaint. Like an olive that ripens and falls. Praising its mother  thanking the tree it grew on.
Marcus Aurelius, I have often wondered how it is that every man loves himself more than all the rest of men  but yet sets less value on his own opinion of himself than on the opinion of others.
Mark Twain, I’ve suffered a great many catastrophes in my life. Most of them never happened.
Marcus Aurelius, Never let the future disturb you. You will meet it  if you have to  with the same weapons of reason which today arm you against the present.
Francisco Goya, Imagination abandoned by reason produces impossible monsters: united with her  she is the mother of the arts and the source of her wonders.
Simon Blackburn, ...the idea being that only when we can see ourselves properly can we obtain control over the direction in which we would wish to move.
Epictetus, Externals are not in my power; choice is. Where shall I seek good and evil? Within.
Seneca, We should not  like sheep  follow the herd of creatures in front of us  making our way where others go  not where we ought to go.
Socrates, Are you not ashamed that you give your attention to acquiring as much money as possible  and similarly with reputation and honour  and give no attention or thought to truth and understanding  and the perfection of your soul?
Upton Sinclair, It is hard to get a man to understand something when his salary depends upon his not understanding it.
Friedrich Nietzsche, Examine the life of the best and most productive men and nations  and ask yourselves whether a tree which is to grow proudly skywards can dispense with bad weather and storms.   Whether misfortune and opposition  or every kind of hatred  jealousy  stubbornness  distrust  severity  greed  and violence do not belong to the favourable conditions without which a great growth even of virtue is hardly possible?
Stephen Jay Gould, I am  somehow  less interested in the weight and convolutions of Einstein's brain than in the near certainty that people of equal talent have lived and died in cotton fields and sweatshops.
